employee_id,department_id,from_date,to_date
10028,d005,1991-10-22T00:00:00.000Z,1998-04-06T00:00:00.000Z
10029,d004,1991-09-18T00:00:00.000Z,1999-07-08T00:00:00.000Z
10029,d006,1999-07-08T00:00:00.000Z,9999-01-01T00:00:00.000Z
10030,d004,1994-02-17T00:00:00.000Z,9999-01-01T00:00:00.000Z
10031,d005,1991-09-01T00:00:00.000Z,9999-01-01T00:00:00.000Z
10032,d004,1990-06-20T00:00:00.000Z,9999-01-01T00:00:00.000Z
10033,d006,1987-03-18T00:00:00.000Z,1993-03-24T00:00:00.000Z
10034,d007,1995-04-12T00:00:00.000Z,1999-10-31T00:00:00.000Z
10035,d004,1988-09-05T00:00:00.000Z,9999-01-01T00:00:00.000Z
10036,d003,1992-04-28T00:00:00.000Z,9999-01-01T00:00:00.000Z
10037,d005,1990-12-05T00:00:00.000Z,9999-01-01T00:00:00.000Z
10038,d009,1989-09-20T00:00:00.000Z,9999-01-01T00:00:00.000Z
10039,d003,1988-01-19T00:00:00.000Z,9999-01-01T00:00:00.000Z
10040,d005,1993-02-14T00:00:00.000Z,2002-01-22T00:00:00.000Z
10040,d008,2002-01-22T00:00:00.000Z,9999-01-01T00:00:00.000Z
10041,d007,1989-11-12T00:00:00.000Z,9999-01-01T00:00:00.000Z
10042,d002,1993-03-21T00:00:00.000Z,2000-08-10T00:00:00.000Z
10043,d005,1990-10-20T00:00:00.000Z,9999-01-01T00:00:00.000Z
10044,d004,1994-05-21T00:00:00.000Z,9999-01-01T00:00:00.000Z
10045,d004,1996-11-16T00:00:00.000Z,9999-01-01T00:00:00.000Z
10046,d008,1992-06-20T00:00:00.000Z,9999-01-01T00:00:00.000Z
10047,d004,1989-03-31T00:00:00.000Z,9999-01-01T00:00:00.000Z
10048,d005,1985-02-24T00:00:00.000Z,1987-01-27T00:00:00.000Z
10049,d009,1992-05-04T00:00:00.000Z,9999-01-01T00:00:00.000Z
10050,d002,1990-12-25T00:00:00.000Z,1992-11-05T00:00:00.000Z
10050,d007,1992-11-05T00:00:00.000Z,9999-01-01T00:00:00.000Z
10051,d004,1992-10-15T00:00:00.000Z,9999-01-01T00:00:00.000Z
10052,d008,1997-01-31T00:00:00.000Z,9999-01-01T00:00:00.000Z
10053,d007,1994-11-13T00:00:00.000Z,9999-01-01T00:00:00.000Z
10054,d003,1995-07-29T00:00:00.000Z,9999-01-01T00:00:00.000Z
10055,d001,1992-04-27T00:00:00.000Z,1995-07-22T00:00:00.000Z
10056,d005,1990-02-01T00:00:00.000Z,9999-01-01T00:00:00.000Z
10057,d005,1992-01-15T00:00:00.000Z,9999-01-01T00:00:00.000Z
10058,d001,1988-04-25T00:00:00.000Z,9999-01-01T00:00:00.000Z
10059,d002,1991-06-26T00:00:00.000Z,9999-01-01T00:00:00.000Z
10060,d007,1989-05-28T00:00:00.000Z,1992-11-11T00:00:00.000Z
10060,d009,1992-11-11T00:00:00.000Z,9999-01-01T00:00:00.000Z
10061,d007,1989-12-02T00:00:00.000Z,9999-01-01T00:00:00.000Z
10062,d005,1991-08-30T00:00:00.000Z,9999-01-01T00:00:00.000Z
10063,d004,1989-04-08T00:00:00.000Z,9999-01-01T00:00:00.000Z
10064,d008,1985-11-20T00:00:00.000Z,1992-03-02T00:00:00.000Z
10065,d005,1998-05-24T00:00:00.000Z,9999-01-01T00:00:00.000Z
10066,d005,1986-02-26T00:00:00.000Z,9999-01-01T00:00:00.000Z
10067,d006,1987-03-04T00:00:00.000Z,9999-01-01T00:00:00.000Z
10068,d007,1987-08-07T00:00:00.000Z,9999-01-01T00:00:00.000Z
10069,d004,1992-06-14T00:00:00.000Z,9999-01-01T00:00:00.000Z
10070,d005,1985-10-14T00:00:00.000Z,1995-10-18T00:00:00.000Z
10070,d008,1995-10-18T00:00:00.000Z,9999-01-01T00:00:00.000Z
10071,d003,1995-08-05T00:00:00.000Z,9999-01-01T00:00:00.000Z
10072,d005,1989-05-21T00:00:00.000Z,9999-01-01T00:00:00.000Z
10073,d006,1998-02-02T00:00:00.000Z,1998-02-22T00:00:00.000Z
10074,d005,1990-08-13T00:00:00.000Z,9999-01-01T00:00:00.000Z
10075,d005,1988-05-17T00:00:00.000Z,2001-01-15T00:00:00.000Z
10076,d005,1996-07-15T00:00:00.000Z,9999-01-01T00:00:00.000Z
10077,d003,1994-12-23T00:00:00.000Z,9999-01-01T00:00:00.000Z
10078,d005,1994-09-29T00:00:00.000Z,9999-01-01T00:00:00.000Z
10079,d005,1995-12-13T00:00:00.000Z,9999-01-01T00:00:00.000Z
10080,d002,1994-09-28T00:00:00.000Z,1997-07-09T00:00:00.000Z
10080,d003,1997-07-09T00:00:00.000Z,9999-01-01T00:00:00.000Z
10081,d004,1986-10-30T00:00:00.000Z,9999-01-01T00:00:00.000Z
10082,d008,1990-01-03T00:00:00.000Z,1990-01-15T00:00:00.000Z
10083,d004,1987-03-31T00:00:00.000Z,9999-01-01T00:00:00.000Z
10084,d004,1995-12-15T00:00:00.000Z,9999-01-01T00:00:00.000Z
10085,d004,1994-04-09T00:00:00.000Z,9999-01-01T00:00:00.000Z
10086,d003,1992-02-19T00:00:00.000Z,9999-01-01T00:00:00.000Z
10087,d007,1997-05-08T00:00:00.000Z,2001-01-09T00:00:00.000Z
10088,d007,1988-09-02T00:00:00.000Z,1992-03-21T00:00:00.000Z
10088,d009,1992-03-21T00:00:00.000Z,9999-01-01T00:00:00.000Z
10089,d007,1989-01-10T00:00:00.000Z,9999-01-01T00:00:00.000Z
10090,d005,1986-03-14T00:00:00.000Z,1999-05-07T00:00:00.000Z
10091,d005,1992-11-18T00:00:00.000Z,9999-01-01T00:00:00.000Z
10092,d005,1996-04-22T00:00:00.000Z,9999-01-01T00:00:00.000Z
10093,d007,1997-06-08T00:00:00.000Z,9999-01-01T00:00:00.000Z
10094,d008,1987-04-18T00:00:00.000Z,1997-11-08T00:00:00.000Z
10095,d007,1994-03-10T00:00:00.000Z,9999-01-01T00:00:00.000Z
10096,d004,1999-01-23T00:00:00.000Z,9999-01-01T00:00:00.000Z
10097,d008,1990-09-15T00:00:00.000Z,9999-01-01T00:00:00.000Z
10098,d004,1985-05-13T00:00:00.000Z,1989-06-29T00:00:00.000Z
10098,d009,1989-06-29T00:00:00.000Z,1992-12-11T00:00:00.000Z
10099,d007,1988-10-18T00:00:00.000Z,9999-01-01T00:00:00.000Z
10100,d003,1987-09-21T00:00:00.000Z,9999-01-01T00:00:00.000Z
10101,d007,1998-10-14T00:00:00.000Z,2000-09-23T00:00:00.000Z
10102,d004,1995-01-02T00:00:00.000Z,9999-01-01T00:00:00.000Z
10103,d005,1998-01-12T00:00:00.000Z,9999-01-01T00:00:00.000Z
10104,d008,1987-04-16T00:00:00.000Z,9999-01-01T00:00:00.000Z
10105,d003,1999-05-17T00:00:00.000Z,2001-06-11T00:00:00.000Z
10106,d004,1991-10-27T00:00:00.000Z,9999-01-01T00:00:00.000Z
10107,d007,1999-03-30T00:00:00.000Z,9999-01-01T00:00:00.000Z
10108,d001,1999-12-06T00:00:00.000Z,2001-10-20T00:00:00.000Z
10108,d003,1999-03-20T00:00:00.000Z,1999-12-06T00:00:00.000Z
10109,d004,1993-06-16T00:00:00.000Z,9999-01-01T00:00:00.000Z
10110,d003,1986-08-22T00:00:00.000Z,9999-01-01T00:00:00.000Z
10111,d006,1988-12-19T00:00:00.000Z,9999-01-01T00:00:00.000Z
10112,d009,1998-05-01T00:00:00.000Z,9999-01-01T00:00:00.000Z
10113,d004,1998-09-14T00:00:00.000Z,9999-01-01T00:00:00.000Z
10114,d008,1992-07-17T00:00:00.000Z,9999-01-01T00:00:00.000Z
10115,d009,1988-03-03T00:00:00.000Z,1992-05-24T00:00:00.000Z
10116,d005,1994-02-27T00:00:00.000Z,1995-12-03T00:00:00.000Z
10116,d008,1995-12-03T00:00:00.000Z,1998-11-01T00:00:00.000Z
10117,d004,1992-03-19T00:00:00.000Z,9999-01-01T00:00:00.000Z
10118,d005,1992-02-02T00:00:00.000Z,9999-01-01T00:00:00.000Z
10119,d004,1993-12-09T00:00:00.000Z,1997-10-30T00:00:00.000Z
10120,d004,1996-07-06T00:00:00.000Z,9999-01-01T00:00:00.000Z
10121,d005,1989-05-03T00:00:00.000Z,9999-01-01T00:00:00.000Z
10122,d005,1998-08-06T00:00:00.000Z,9999-01-01T00:00:00.000Z
10123,d004,1993-01-15T00:00:00.000Z,9999-01-01T00:00:00.000Z
10124,d004,1991-09-05T00:00:00.000Z,1999-06-06T00:00:00.000Z
10124,d006,1999-06-06T00:00:00.000Z,9999-01-01T00:00:00.000Z
10125,d007,1990-10-26T00:00:00.000Z,1996-03-25T00:00:00.000Z
10126,d009,1985-09-08T00:00:00.000Z,9999-01-01T00:00:00.000Z
10127,d005,1991-05-17T00:00:00.000Z,9999-01-01T00:00:00.000Z
10128,d009,1988-06-06T00:00:00.000Z,9999-01-01T00:00:00.000Z
10129,d005,1996-01-16T00:00:00.000Z,9999-01-01T00:00:00.000Z
10130,d004,1988-06-21T00:00:00.000Z,9999-01-01T00:00:00.000Z
10131,d004,1999-09-17T00:00:00.000Z,1999-12-06T00:00:00.000Z
10132,d002,1997-06-18T00:00:00.000Z,9999-01-01T00:00:00.000Z
10133,d004,1985-12-15T00:00:00.000Z,9999-01-01T00:00:00.000Z
10134,d004,1993-12-02T00:00:00.000Z,9999-01-01T00:00:00.000Z
10134,d005,1987-12-12T00:00:00.000Z,1993-12-02T00:00:00.000Z
10135,d004,1990-01-04T00:00:00.000Z,9999-01-01T00:00:00.000Z
10136,d007,1988-06-13T00:00:00.000Z,1999-09-20T00:00:00.000Z
10137,d009,1985-02-18T00:00:00.000Z,9999-01-01T00:00:00.000Z
10138,d006,1992-03-03T00:00:00.000Z,9999-01-01T00:00:00.000Z
10139,d005,1998-03-15T00:00:00.000Z,9999-01-01T00:00:00.000Z
10140,d001,1991-03-14T00:00:00.000Z,9999-01-01T00:00:00.000Z
10141,d008,1998-07-23T00:00:00.000Z,9999-01-01T00:00:00.000Z
10142,d005,1993-10-28T00:00:00.000Z,9999-01-01T00:00:00.000Z
10143,d005,1988-09-30T00:00:00.000Z,9999-01-01T00:00:00.000Z
10144,d002,1985-10-14T00:00:00.000Z,1988-09-02T00:00:00.000Z
10144,d003,1988-09-02T00:00:00.000Z,1993-08-10T00:00:00.000Z
10145,d005,1999-11-03T00:00:00.000Z,9999-01-01T00:00:00.000Z
10146,d002,1988-06-28T00:00:00.000Z,1990-09-07T00:00:00.000Z
10147,d002,1987-12-18T00:00:00.000Z,9999-01-01T00:00:00.000Z
10148,d007,1996-07-15T00:00:00.000Z,9999-01-01T00:00:00.000Z
10149,d007,1994-01-28T00:00:00.000Z,1996-08-27T00:00:00.000Z
10150,d005,1986-11-16T00:00:00.000Z,9999-01-01T00:00:00.000Z
10151,d007,1992-12-12T00:00:00.000Z,9999-01-01T00:00:00.000Z
10152,d006,1986-01-27T00:00:00.000Z,1987-08-03T00:00:00.000Z
10153,d005,2000-01-08T00:00:00.000Z,9999-01-01T00:00:00.000Z
10154,d009,1996-10-23T00:00:00.000Z,9999-01-01T00:00:00.000Z
10155,d004,1990-07-12T00:00:00.000Z,9999-01-01T00:00:00.000Z
10155,d008,1990-01-05T00:00:00.000Z,1990-07-12T00:00:00.000Z
10156,d006,1993-05-14T00:00:00.000Z,9999-01-01T00:00:00.000Z
10157,d005,1997-12-10T00:00:00.000Z,9999-01-01T00:00:00.000Z
10158,d004,1987-06-04T00:00:00.000Z,9999-01-01T00:00:00.000Z
10159,d006,1996-06-12T00:00:00.000Z,9999-01-01T00:00:00.000Z
10160,d007,1993-12-06T00:00:00.000Z,9999-01-01T00:00:00.000Z
10161,d004,1991-06-09T00:00:00.000Z,1994-01-05T00:00:00.000Z
10162,d004,1998-05-27T00:00:00.000Z,9999-01-01T00:00:00.000Z
10163,d003,1992-02-02T00:00:00.000Z,9999-01-01T00:00:00.000Z
10164,d004,1990-10-19T00:00:00.000Z,2000-05-31T00:00:00.000Z
10164,d009,2000-05-31T00:00:00.000Z,9999-01-01T00:00:00.000Z
10165,d002,1988-05-17T00:00:00.000Z,9999-01-01T00:00:00.000Z
10166,d005,1996-09-02T00:00:00.000Z,9999-01-01T00:00:00.000Z
10167,d004,1992-04-04T00:00:00.000Z,9999-01-01T00:00:00.000Z
10168,d008,1986-12-06T00:00:00.000Z,9999-01-01T00:00:00.000Z
10169,d005,1998-06-28T00:00:00.000Z,9999-01-01T00:00:00.000Z
10170,d004,1986-01-02T00:00:00.000Z,1989-02-06T00:00:00.000Z
10171,d004,1996-08-05T00:00:00.000Z,9999-01-01T00:00:00.000Z
10172,d005,1998-02-04T00:00:00.000Z,1998-10-01T00:00:00.000Z
10172,d008,1998-10-01T00:00:00.000Z,9999-01-01T00:00:00.000Z
10173,d002,1992-03-21T00:00:00.000Z,9999-01-01T00:00:00.000Z
10174,d004,1987-06-01T00:00:00.000Z,9999-01-01T00:00:00.000Z
10175,d001,1988-09-24T00:00:00.000Z,1995-05-24T00:00:00.000Z
10176,d009,1994-12-22T00:00:00.000Z,9999-01-01T00:00:00.000Z
10177,d002,1993-02-06T00:00:00.000Z,1994-03-17T00:00:00.000Z
10178,d007,1994-03-21T00:00:00.000Z,9999-01-01T00:00:00.000Z
10179,d005,2000-01-25T00:00:00.000Z,9999-01-01T00:00:00.000Z
10180,d002,1994-07-01T00:00:00.000Z,9999-01-01T00:00:00.000Z
10181,d005,1988-06-22T00:00:00.000Z,9999-01-01T00:00:00.000Z
10182,d005,1990-09-02T00:00:00.000Z,1999-01-05T00:00:00.000Z
10182,d008,1999-01-05T00:00:00.000Z,9999-01-01T00:00:00.000Z
10183,d009,1996-08-11T00:00:00.000Z,9999-01-01T00:00:00.000Z
10184,d009,1997-12-26T00:00:00.000Z,9999-01-01T00:00:00.000Z
10185,d007,1986-03-01T00:00:00.000Z,9999-01-01T00:00:00.000Z
10186,d002,1996-12-25T00:00:00.000Z,1997-08-16T00:00:00.000Z
10187,d002,1991-06-01T00:00:00.000Z,9999-01-01T00:00:00.000Z
10188,d004,1987-08-27T00:00:00.000Z,9999-01-01T00:00:00.000Z
10189,d005,1992-09-13T00:00:00.000Z,1993-06-29T00:00:00.000Z
10190,d004,1986-06-23T00:00:00.000Z,9999-01-01T00:00:00.000Z
10191,d005,1986-04-10T00:00:00.000Z,9999-01-01T00:00:00.000Z
10192,d004,1999-08-09T00:00:00.000Z,9999-01-01T00:00:00.000Z
10192,d006,1988-06-13T00:00:00.000Z,1999-08-09T00:00:00.000Z
10193,d005,1996-09-21T00:00:00.000Z,9999-01-01T00:00:00.000Z
10194,d002,1997-02-14T00:00:00.000Z,9999-01-01T00:00:00.000Z
10195,d004,1985-02-15T00:00:00.000Z,2001-04-14T00:00:00.000Z
10196,d002,1999-01-31T00:00:00.000Z,9999-01-01T00:00:00.000Z
10197,d005,1994-06-28T00:00:00.000Z,9999-01-01T00:00:00.000Z
10198,d005,1985-08-31T00:00:00.000Z,9999-01-01T00:00:00.000Z
10199,d007,1998-02-07T00:00:00.000Z,9999-01-01T00:00:00.000Z
10200,d004,1994-02-17T00:00:00.000Z,2000-10-03T00:00:00.000Z
10200,d006,2000-10-03T00:00:00.000Z,9999-01-01T00:00:00.000Z
10201,d005,1992-11-10T00:00:00.000Z,9999-01-01T00:00:00.000Z
10202,d005,1991-10-06T00:00:00.000Z,9999-01-01T00:00:00.000Z
10203,d008,1989-04-06T00:00:00.000Z,9999-01-01T00:00:00.000Z
10204,d005,1998-12-18T00:00:00.000Z,1999-03-08T00:00:00.000Z
10205,d004,1993-08-23T00:00:00.000Z,9999-01-01T00:00:00.000Z
10206,d005,1988-04-19T00:00:00.000Z,9999-01-01T00:00:00.000Z
10207,d005,1992-10-11T00:00:00.000Z,9999-01-01T00:00:00.000Z
10208,d001,1995-02-05T00:00:00.000Z,1999-05-15T00:00:00.000Z
10209,d002,1991-11-23T00:00:00.000Z,1999-08-07T00:00:00.000Z
10209,d007,1999-08-07T00:00:00.000Z,9999-01-01T00:00:00.000Z
10210,d009,1996-02-24T00:00:00.000Z,9999-01-01T00:00:00.000Z
10211,d005,1991-11-22T00:00:00.000Z,9999-01-01T00:00:00.000Z
10212,d005,1996-01-28T00:00:00.000Z,9999-01-01T00:00:00.000Z
10213,d009,1994-10-06T00:00:00.000Z,9999-01-01T00:00:00.000Z
10214,d007,1988-02-29T00:00:00.000Z,9999-01-01T00:00:00.000Z
10215,d007,1991-11-23T00:00:00.000Z,9999-01-01T00:00:00.000Z
10216,d008,1987-10-30T00:00:00.000Z,9999-01-01T00:00:00.000Z
10217,d004,1986-05-12T00:00:00.000Z,1993-08-05T00:00:00.000Z
10218,d004,1997-01-31T00:00:00.000Z,9999-01-01T00:00:00.000Z
10219,d005,1994-10-23T00:00:00.000Z,9999-01-01T00:00:00.000Z
10219,d009,1993-03-31T00:00:00.000Z,1994-10-23T00:00:00.000Z
10220,d002,1997-09-16T00:00:00.000Z,9999-01-01T00:00:00.000Z
10221,d004,1988-06-08T00:00:00.000Z,2000-10-04T00:00:00.000Z
10222,d004,1986-06-08T00:00:00.000Z,9999-01-01T00:00:00.000Z
10223,d005,1998-04-01T00:00:00.000Z,9999-01-01T00:00:00.000Z
10224,d004,1988-01-09T00:00:00.000Z,9999-01-01T00:00:00.000Z
10225,d009,1995-12-14T00:00:00.000Z,9999-01-01T00:00:00.000Z
10226,d007,1996-01-29T00:00:00.000Z,9999-01-01T00:00:00.000Z
10227,d005,1994-11-01T00:00:00.000Z,9999-01-01T00:00:00.000Z
10228,d001,1993-01-28T00:00:00.000Z,9999-01-01T00:00:00.000Z
10228,d007,1992-12-22T00:00:00.000Z,1993-01-28T00:00:00.000Z
10229,d006,1996-02-20T00:00:00.000Z,2000-06-30T00:00:00.000Z
10230,d008,1996-06-16T00:00:00.000Z,9999-01-01T00:00:00.000Z
10231,d009,1998-09-09T00:00:00.000Z,9999-01-01T00:00:00.000Z
10232,d007,1992-06-04T00:00:00.000Z,9999-01-01T00:00:00.000Z
10233,d003,1994-04-29T00:00:00.000Z,9999-01-01T00:00:00.000Z
10234,d007,1990-11-19T00:00:00.000Z,1999-08-06T00:00:00.000Z
10235,d004,1995-04-06T00:00:00.000Z,9999-01-01T00:00:00.000Z
10236,d007,1996-08-30T00:00:00.000Z,9999-01-01T00:00:00.000Z
10237,d007,1989-08-11T00:00:00.000Z,2000-02-21T00:00:00.000Z
10238,d005,1995-03-31T00:00:00.000Z,1996-05-25T00:00:00.000Z
10238,d008,1996-05-25T00:00:00.000Z,9999-01-01T00:00:00.000Z
10239,d001,1996-05-04T00:00:00.000Z,9999-01-01T00:00:00.000Z
10240,d006,1998-10-06T00:00:00.000Z,9999-01-01T00:00:00.000Z
10241,d002,1988-06-12T00:00:00.000Z,9999-01-01T00:00:00.000Z
10242,d004,1988-01-18T00:00:00.000Z,9999-01-01T00:00:00.000Z
10243,d007,1986-06-07T00:00:00.000Z,9999-01-01T00:00:00.000Z
10244,d005,1999-09-16T00:00:00.000Z,9999-01-01T00:00:00.000Z
10245,d008,1994-04-21T00:00:00.000Z,1995-02-20T00:00:00.000Z
10246,d004,1991-02-01T00:00:00.000Z,9999-01-01T00:00:00.000Z
10247,d004,1992-08-14T00:00:00.000Z,9999-01-01T00:00:00.000Z
10248,d007,1991-08-13T00:00:00.000Z,9999-01-01T00:00:00.000Z
10249,d005,1991-12-08T00:00:00.000Z,1998-04-13T00:00:00.000Z
10249,d008,1998-04-13T00:00:00.000Z,9999-01-01T00:00:00.000Z
10250,d006,1992-08-30T00:00:00.000Z,9999-01-01T00:00:00.000Z
10251,d008,1992-06-25T00:00:00.000Z,9999-01-01T00:00:00.000Z
10252,d004,1990-11-08T00:00:00.000Z,9999-01-01T00:00:00.000Z
10253,d007,1985-02-21T00:00:00.000Z,1994-03-20T00:00:00.000Z
10254,d007,1990-06-14T00:00:00.000Z,9999-01-01T00:00:00.000Z
10255,d004,1993-05-12T00:00:00.000Z,1999-11-14T00:00:00.000Z
10256,d007,1985-10-12T00:00:00.000Z,9999-01-01T00:00:00.000Z
10257,d004,1997-07-16T00:00:00.000Z,9999-01-01T00:00:00.000Z
10258,d005,1985-05-17T00:00:00.000Z,9999-01-01T00:00:00.000Z
10259,d001,1987-07-25T00:00:00.000Z,1994-08-15T00:00:00.000Z
10259,d009,1994-08-15T00:00:00.000Z,1999-01-06T00:00:00.000Z
10260,d004,1993-02-01T00:00:00.000Z,9999-01-01T00:00:00.000Z
10261,d005,1996-09-11T00:00:00.000Z,1999-02-23T00:00:00.000Z
10262,d007,1996-01-22T00:00:00.000Z,9999-01-01T00:00:00.000Z
10263,d002,1996-12-21T00:00:00.000Z,9999-01-01T00:00:00.000Z
10264,d005,1997-07-16T00:00:00.000Z,9999-01-01T00:00:00.000Z
10265,d006,1997-09-12T00:00:00.000Z,9999-01-01T00:00:00.000Z
10266,d004,1990-05-25T00:00:00.000Z,9999-01-01T00:00:00.000Z
10267,d004,1997-04-26T00:00:00.000Z,9999-01-01T00:00:00.000Z
10268,d004,1988-04-15T00:00:00.000Z,1990-08-17T00:00:00.000Z
10268,d005,1986-12-17T00:00:00.000Z,1988-04-15T00:00:00.000Z
10269,d004,1988-07-24T00:00:00.000Z,9999-01-01T00:00:00.000Z
10270,d007,1991-09-26T00:00:00.000Z,9999-01-01T00:00:00.000Z
10271,d005,1986-05-23T00:00:00.000Z,9999-01-01T00:00:00.000Z
10272,d002,1997-10-23T00:00:00.000Z,9999-01-01T00:00:00.000Z
10273,d007,1985-11-06T00:00:00.000Z,9999-01-01T00:00:00.000Z
10274,d005,1997-02-02T00:00:00.000Z,9999-01-01T00:00:00.000Z
10275,d005,1987-09-08T00:00:00.000Z,9999-01-01T00:00:00.000Z
10276,d005,1986-10-19T00:00:00.000Z,2000-02-04T00:00:00.000Z
10277,d007,1985-06-16T00:00:00.000Z,9999-01-01T00:00:00.000Z
10278,d005,1993-07-02T00:00:00.000Z,1997-02-14T00:00:00.000Z
10279,d004,1995-04-26T00:00:00.000Z,1999-07-11T00:00:00.000Z
10279,d009,1999-07-11T00:00:00.000Z,9999-01-01T00:00:00.000Z
10280,d003,1995-01-27T00:00:00.000Z,9999-01-01T00:00:00.000Z
10281,d006,1994-12-03T00:00:00.000Z,9999-01-01T00:00:00.000Z
10282,d004,1996-05-02T00:00:00.000Z,9999-01-01T00:00:00.000Z
10283,d005,1988-05-25T00:00:00.000Z,9999-01-01T00:00:00.000Z
10284,d004,1999-07-06T00:00:00.000Z,9999-01-01T00:00:00.000Z
10285,d008,1995-05-25T00:00:00.000Z,9999-01-01T00:00:00.000Z
10286,d009,1994-12-24T00:00:00.000Z,1999-01-24T00:00:00.000Z
10287,d005,1997-09-05T00:00:00.000Z,9999-01-01T00:00:00.000Z
10287,d008,1992-12-28T00:00:00.000Z,1997-09-05T00:00:00.000Z
10288,d004,1994-08-29T00:00:00.000Z,9999-01-01T00:00:00.000Z
10289,d005,1993-03-12T00:00:00.000Z,2002-01-31T00:00:00.000Z
10290,d005,1991-09-18T00:00:00.000Z,9999-01-01T00:00:00.000Z
10291,d007,1987-03-30T00:00:00.000Z,9999-01-01T00:00:00.000Z
10292,d007,1989-06-05T00:00:00.000Z,9999-01-01T00:00:00.000Z
10293,d004,1992-12-12T00:00:00.000Z,9999-01-01T00:00:00.000Z
10294,d005,1999-01-30T00:00:00.000Z,1999-05-04T00:00:00.000Z
10295,d002,1995-06-19T00:00:00.000Z,9999-01-01T00:00:00.000Z
10296,d007,1989-09-16T00:00:00.000Z,9999-01-01T00:00:00.000Z
10297,d004,1986-05-28T00:00:00.000Z,9999-01-01T00:00:00.000Z
10298,d004,2002-05-05T00:00:00.000Z,9999-01-01T00:00:00.000Z
10298,d008,1999-04-27T00:00:00.000Z,2002-05-05T00:00:00.000Z
10299,d007,1990-01-10T00:00:00.000Z,9999-01-01T00:00:00.000Z
10300,d004,1991-05-17T00:00:00.000Z,9999-01-01T00:00:00.000Z
10301,d002,1988-05-23T00:00:00.000Z,9999-01-01T00:00:00.000Z
10302,d007,1986-07-22T00:00:00.000Z,1999-11-09T00:00:00.000Z
10303,d004,1990-02-05T00:00:00.000Z,2000-11-15T00:00:00.000Z
10304,d007,1992-11-16T00:00:00.000Z,2002-05-08T00:00:00.000Z
10305,d005,1988-10-31T00:00:00.000Z,1992-06-02T00:00:00.000Z
10306,d007,1993-09-06T00:00:00.000Z,9999-01-01T00:00:00.000Z
10307,d004,1999-10-16T00:00:00.000Z,2000-01-21T00:00:00.000Z
10307,d006,2000-01-21T00:00:00.000Z,9999-01-01T00:00:00.000Z
10308,d007,1992-12-29T00:00:00.000Z,9999-01-01T00:00:00.000Z
10309,d005,1997-05-02T00:00:00.000Z,9999-01-01T00:00:00.000Z
10310,d004,1990-10-24T00:00:00.000Z,2001-07-26T00:00:00.000Z
10311,d005,1998-11-04T00:00:00.000Z,9999-01-01T00:00:00.000Z
10312,d004,1986-08-28T00:00:00.000Z,9999-01-01T00:00:00.000Z
10313,d008,1994-10-10T00:00:00.000Z,9999-01-01T00:00:00.000Z
10314,d007,1986-01-16T00:00:00.000Z,9999-01-01T00:00:00.000Z
10315,d005,1987-08-28T00:00:00.000Z,9999-01-01T00:00:00.000Z
10316,d006,1990-12-18T00:00:00.000Z,1991-01-02T00:00:00.000Z
10317,d004,2000-07-05T00:00:00.000Z,9999-01-01T00:00:00.000Z
